Signal Name,Used?,Physical Units,Source,Type,% Error,Last-Modification Date,Range [Max],Range [Min],Fwd EU Expression,Rvr EU Expression,Uncertainty Expression,Fwd EU Calibration Points,Rvr EU Calibration Points
V_AC_PHA,Used,Volts,Dev1/ai0,AC+DC_Voltage,N/A,"Thursday, April 23, 2015  9:35:17 AM",1,-1,V_AC_PHA*500,,,"||180.000000E+0,360.833812E-3;200.000000E+0,399.903325E-3;220.000000E+0,440.487238E-3;240.000000E+0,480.465453E-3;260.000000E+0,520.913087E-3;280.000000E+0,561.402033E-3;300.000000E+0,601.458844E-3;320.000000E+0,641.753116E-3",
PhA_I_INV,Used,Amperes,Dev1/ai1,AC+DC_Voltage,N/A,"Thursday, March 20, 2014  7:25:47 AM",2,-2,(0.021322)*pha_i_inv^0 + (99.760404)*pha_i_inv^1,,,"||0.000000E+0,-174.181564E-6;1.000000E+0,9.817534E-3;2.000000E+0,19.812633E-3;3.000000E+0,29.844120E-3;4.000000E+0,39.814540E-3;5.000000E+0,49.953172E-3;6.000000E+0,59.986230E-3;7.000000E+0,70.016427E-3;8.000000E+0,80.019747E-3;9.000000E+0,89.827010E-3;10.000000E+0,100.058734E-3;11.000000E+0,110.139571E-3;12.000000E+0,120.111183E-3;13.000000E+0,129.844504E-3;14.000000E+0,140.237042E-3;15.000000E+0,150.268471E-3;16.000000E+0,160.225503E-3;17.000000E+0,169.888713E-3;18.000000E+0,179.994056E-3;19.000000E+0,190.417894E-3;20.000000E+0,200.452319E-3",
PhB_V_INV,Not Used,Volts,Dev1/ai2,Voltage,0,"Thursday, October 16, 2008  2:09:42 PM",1,-1,(26.782242E-3)*phb_v_inv^0 + (498.456111E+0)*phb_v_inv^1,,,"||80.000000E+0,160.469559E-3;90.000000E+0,180.512227E-3;100.000000E+0,200.539261E-3;110.000000E+0,220.524848E-3;120.000000E+0,240.531906E-3;130.000000E+0,260.587468E-3;140.000000E+0,280.647957E-3;150.000000E+0,300.763215E-3;160.000000E+0,320.838043E-3;170.000000E+0,340.879168E-3;180.000000E+0,360.896506E-3;190.000000E+0,380.928995E-3;200.000000E+0,400.995831E-3;210.000000E+0,421.047249E-3;220.000000E+0,441.085314E-3;230.000000E+0,461.144506E-3;240.000000E+0,481.159476E-3;250.000000E+0,501.160334E-3;260.000000E+0,521.195326E-3;270.000000E+0,541.233977E-3;280.000000E+0,561.286583E-3;290.000000E+0,581.299809E-3;300.000000E+0,601.314003E-3",
PhB_I_INV,Not Used,Amperes,Dev1/ai3,Current,0,"Thursday, October 23, 2008  3:37:32 PM",2,-2,(-7.409729E-3)*phb_i_inv^0 + (99.723911E+0)*phb_i_inv^1,,,"||0.000000E+0,156.875811E-6;5.000000E+0,50.168642E-3;10.000000E+0,100.320296E-3;15.000000E+0,150.473655E-3;20.000000E+0,200.615794E-3;25.000000E+0,250.753654E-3;30.000000E+0,300.888940E-3;35.000000E+0,351.044423E-3;40.000000E+0,401.184345E-3;45.000000E+0,451.332018E-3;50.000000E+0,501.444326E-3;55.000000E+0,551.502019E-3;60.000000E+0,601.639693E-3;70.000000E+0,702.017715E-3;75.000000E+0,752.122567E-3;80.000000E+0,802.243499E-3;85.000000E+0,852.424574E-3;90.000000E+0,902.557507E-3;95.000000E+0,952.613254E-3;100.000000E+0,1.002669E+0",
PhC_V_INV,Not Used,Volts,Dev1/ai4,Voltage,0,"Thursday, October 16, 2008  2:17:55 PM",1,-1,(22.060539E-3)*phc_v_inv^0 + (501.111531E+0)*phc_v_inv^1,,,"||80.000000E+0,159.573698E-3;90.000000E+0,179.510446E-3;100.000000E+0,199.448157E-3;110.000000E+0,219.377421E-3;120.000000E+0,239.352343E-3;130.000000E+0,259.291426E-3;140.000000E+0,279.245455E-3;150.000000E+0,299.195870E-3;160.000000E+0,319.130077E-3;170.000000E+0,339.055957E-3;180.000000E+0,358.979355E-3;190.000000E+0,378.910795E-3;200.000000E+0,398.850260E-3;210.000000E+0,418.778923E-3;220.000000E+0,438.719302E-3;230.000000E+0,458.650763E-3;240.000000E+0,478.587350E-3;250.000000E+0,498.514536E-3;260.000000E+0,518.440592E-3;270.000000E+0,538.370194E-3;280.000000E+0,558.294914E-3;290.000000E+0,578.220340E-3;300.000000E+0,598.163485E-3",
PhC_I_INV,Not Used,Amperes,Dev1/ai5,Current,0,"Thursday, October 23, 2008  3:44:16 PM",2,-2,(6.176704E-3)*phc_i_inv^0 + (100.090040E+0)*phc_i_inv^1,,,"||0.000000E+0,59.148810E-6;5.000000E+0,49.949468E-3;10.000000E+0,99.861020E-3;15.000000E+0,149.766082E-3;20.000000E+0,199.658840E-3;25.000000E+0,249.550343E-3;30.000000E+0,299.460093E-3;35.000000E+0,349.455990E-3;40.000000E+0,399.423747E-3;45.000000E+0,449.371050E-3;50.000000E+0,499.293288E-3;55.000000E+0,549.215691E-3;60.000000E+0,599.134391E-3;65.000000E+0,649.068579E-3;70.000000E+0,699.009109E-3;75.000000E+0,748.931326E-3;80.000000E+0,798.832195E-3;85.000000E+0,848.607202E-3;90.000000E+0,898.444340E-3;95.000000E+0,948.274087E-3;100.000000E+0,998.134187E-3",
DCV_1,Used,Volts,Dev1/ai6,Complex_Voltage,N/A,"Tuesday, April 26, 2011  3:01:28 PM",2,-2,(4.169363)*dcv_1^0 + (500.899778)*dcv_1^1 + (-2.354952)*dcv_1^2,,,"||100.000000E+0,191.262157E-3;120.000000E+0,231.726766E-3;140.000000E+0,271.415122E-3;160.000000E+0,311.592028E-3;180.000000E+0,351.572847E-3;200.000000E+0,391.575379E-3;220.000000E+0,432.298239E-3;240.000000E+0,472.142409E-3;260.000000E+0,511.739361E-3;280.000000E+0,552.096519E-3;300.000000E+0,592.201157E-3;320.000000E+0,631.705012E-3;340.000000E+0,672.387624E-3;360.000000E+0,712.958068E-3;380.000000E+0,753.418362E-3;400.000000E+0,792.974639E-3;420.000000E+0,833.265443E-3;440.000000E+0,874.160257E-3;460.000000E+0,914.227328E-3;480.000000E+0,953.834944E-3;500.000000E+0,994.513297E-3",
DCI_1,Used,Amperes,Dev1/ai7,Complex_Voltage,0.22,"Thursday, March 20, 2014  12:57:50 PM",10,-10,(-0.005221)*dci_1^0 + (1.966702)*dci_1^1 + (0.001418)*dci_1^2 + (-0.000060)*dci_1^3,,,"||0.000000E+0,3.749025E-3;1.000000E+0,509.832540E-3;2.000000E+0,1.018776E+0;3.000000E+0,1.526211E+0;4.000000E+0,2.033142E+0;5.000000E+0,2.541466E+0;6.000000E+0,3.047994E+0;7.000000E+0,3.554313E+0;8.000000E+0,4.060449E+0;9.000000E+0,4.566584E+0;10.000000E+0,5.072499E+0;11.000000E+0,5.578173E+0;12.000000E+0,6.086464E+0;13.000000E+0,6.589888E+0;14.000000E+0,7.096343E+0;15.000000E+0,7.601945E+0;16.000000E+0,8.102736E+0;17.000000E+0,8.614371E+0;18.000000E+0,9.119046E+0;19.000000E+0,9.624270E+0;20.000000E+0,10.129700E+0",
DCV_2,Used,Volts,Dev1/ai16,Complex_Voltage,0.56,"Thursday, March 20, 2014  12:37:02 PM",2,-2,(-0.118807)*dcv_2^0 + (502.692818)*dcv_2^1,,,"||0.000000E+0,1.052871E-3;25.000000E+0,49.690350E-3;50.000000E+0,99.492175E-3;75.000000E+0,149.213282E-3;100.000000E+0,199.024031E-3;125.000000E+0,248.769574E-3;150.000000E+0,298.538032E-3;175.000000E+0,348.303196E-3;200.000000E+0,398.047100E-3;225.000000E+0,447.801998E-3;250.000000E+0,497.573292E-3;275.000000E+0,547.317350E-3;300.000000E+0,597.068304E-3;325.000000E+0,646.814325E-3;350.000000E+0,696.572271E-3;375.000000E+0,746.232720E-3;400.000000E+0,796.026179E-3;425.000000E+0,845.765830E-3;450.000000E+0,895.514880E-3;475.000000E+0,945.207282E-3;500.000000E+0,994.935720E-3;525.000000E+0,1.044622E+0;550.000000E+0,1.094330E+0;575.000000E+0,1.144002E+0;600.000000E+0,1.193642E+0",
DCI_2,Used,Amperes,Dev1/ai17,Complex_Voltage,0.27,"Thursday, March 20, 2014  1:10:17 PM",10,-10,(-0.025087)*dci_2^0 + (1.933638)*dci_2^1 + (0.000604)*dci_2^2,,,"||0.000000E+0,14.410814E-3;1.000000E+0,528.635484E-3;2.000000E+0,1.046947E+0;3.000000E+0,1.562381E+0;4.000000E+0,2.080195E+0;5.000000E+0,2.596748E+0;6.000000E+0,3.115868E+0;7.000000E+0,3.630705E+0;8.000000E+0,4.141981E+0;9.000000E+0,4.660281E+0;10.000000E+0,5.175629E+0;11.000000E+0,5.691092E+0;12.000000E+0,6.206225E+0;13.000000E+0,6.721641E+0;14.000000E+0,7.236694E+0;15.000000E+0,7.754106E+0;16.000000E+0,8.266176E+0;17.000000E+0,8.780914E+0;18.000000E+0,9.295269E+0;19.000000E+0,9.808757E+0;20.000000E+0,10.321976E+0",
